1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
4853,4457,3083,3580,3134,2698,2307,2881,2451,2245,2059,3655,4643,4320,3679,4059,4395,4890,4801,6736,0,0,0,0,0,0
728,407,251,160,76,361,201,206,276,212,148,305,967,933,1101,981,1210,1787,820,1134,0,0,0,0,0,0
14,29,2,0,1,0,122,59,54,5,11,2,85,71,30,53,11,52,13,202,0,0,0,0,0,0
4,0,2,0,1,0,19,10,0,0,4,0,4,31,0,46,7,8,2,5,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,2,67,39,30,2,2,0,1,8,0,0,0,0,0,0
10,29,0,0,0,0,103,47,54,5,7,0,14,1,0,5,2,44,10,189,0,0,0,0,0,0
92,121,115,84,23,45,20,49,165,15,11,25,49,7,94,103,17,111,71,129,0,0,0,0,0,0
3,0,0,2,0,5,2,2,4,0,6,0,2,0,4,42,4,12,5,6,0,0,0,0,0,0
59,111,106,79,1,30,10,0,2,0,0,22,32,2,0,7,3,77,61,40,0,0,0,0,0,0
25,1,0,3,5,0,3,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0
5,0,9,0,17,7,5,0,12,15,5,0,9,2,90,37,9,20,5,82,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,0,0,3,0,47,147,0,0,0,4,0,0,15,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,14,13,10,8,99,16,31,4,84,32,74,576,709,815,504,907,1225,722,603,0,0,0,0,0,0
13,10,7,6,6,99,12,28,0,20,4,6,4,9,28,169,205,43,59,31,0,0,0,0,0,0
259,4,6,4,2,0,4,3,4,64,28,68,2,0,76,142,28,20,118,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,570,700,711,193,674,1162,545,565,0,0,0,0,0,0
170,62,0,0,0,4,6,5,7,4,2,0,4,8,0,35,30,33,3,28,0,0,0,0,0,0
170,62,0,0,0,4,6,5,7,4,2,0,4,8,0,35,30,33,3,28,0,0,0,0,0,0
180,181,121,66,44,213,37,62,46,104,92,204,253,138,162,286,245,366,11,172,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,58,137,35,9,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,253,135,159,225,107,244,1,118,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,87,1,54,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,288,258,402,224,597,382,238,279,251,247,824,271,478,413,256,732,578,699,1440,0,0,0,0,0,0
4,1,44,0,46,109,138,19,0,0,0,3,0,18,62,9,3,6,90,111,0,0,0,0,0,0
4,1,44,0,3,0,1,1,0,0,0,3,0,0,5,1,3,5,1,111,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,18,57,6,0,0,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,0,0,0,0,0,0,0
18,32,1,4,2,22,7,0,35,97,0,6,1,68,1,20,85,40,1,194,0,0,0,0,0,0
8,0,0,0,0,2,0,0,27,83,0,0,0,1,0,15,85,27,1,186,0,0,0,0,0,0
10,0,0,4,2,20,6,0,0,1,0,6,1,0,1,0,0,1,0,6,0,0,0,0,0,0
0,0,1,0,0,0,1,0,8,13,0,0,0,42,0,5,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,12,0,0,0,0,0,0,0,0
0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,36,35,129,0,195,104,62,5,38,114,85,12,126,107,70,348,34,20,126,0,0,0,0,0,0
19,33,35,129,0,119,0,1,5,16,15,72,12,113,0,4,288,7,2,126,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
0,0,0,0,0,76,104,0,0,22,99,13,0,13,107,64,5,1,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,61,0,0,0,0,0,0,0,2,55,26,2,0,0,0,0,0,0,0
170,164,6,8,162,76,4,129,24,3,119,679,203,210,153,38,85,139,108,236,0,0,0,0,0,0
3,6,4,2,159,27,2,19,7,2,64,379,203,73,34,4,2,102,95,21,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,2,6,3,1,2,2,0,1,55,1,0,4,92,7,18,4,1,183,0,0,0,0,0,0
0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
161,146,0,0,0,47,0,108,0,0,0,299,0,133,27,26,64,33,12,32,0,0,0,0,0,0
233,55,172,261,14,195,129,28,215,113,14,51,55,56,90,119,211,359,480,773,0,0,0,0,0,0
192,3,76,95,1,128,0,3,133,100,2,29,40,41,0,2,31,1,0,75,0,0,0,0,0,0
10,23,88,3,9,15,8,7,11,6,4,17,11,12,44,5,3,7,8,16,0,0,0,0,0,0
0,24,0,145,0,33,100,13,60,3,2,0,0,1,35,107,0,37,217,50,0,0,0,0,0,0
31,5,8,18,4,19,21,5,10,3,4,5,4,2,11,5,3,15,3,8,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,113,181,244,594,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,118,8,30,0,0,0,0,0,0
136,288,430,350,535,393,287,550,549,668,566,734,1264,1254,888,722,509,290,1047,1316,0,0,0,0,0,0
136,3,136,0,0,0,0,7,4,13,0,115,312,575,83,225,120,122,246,1002,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,304,566,81,201,110,88,180,387,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,581,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,21,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,3,4,0,0,40,1,9,0,9,3,2,6,33,0,0,0,0,0,0
0,3,0,0,0,0,0,4,0,10,0,0,1,0,2,9,6,11,20,0,0,0,0,0,0,0
0,106,0,0,0,0,1,0,0,0,0,0,2,9,6,62,5,2,1,8,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,9,6,2,5,1,1,8,0,0,0,0,0,0
0,106,0,0,0,0,0,0,0,0,0,0,2,0,0,60,0,1,0,0,0,0,0,0,0,0
0,0,0,4,5,79,0,139,265,316,82,284,376,401,448,160,259,46,171,192,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,112,178,259,1,4,1,0,0,0,0,0,0,0,0
